R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R04238	aminoacyl-tRNA aminoacylhydrolase	C03880 + C00001	C03523 + C00066	C03880 + C00001 <=> C03523 + C00066	aminoacyl-tRNA aminoacylhydrolase; N-Substituted aminoacyl-tRNA + H2O <=> N-Substituted amino acid + tRNA	N-Substituted aminoacyl-tRNA + H2O <=> N-Substituted amino acid + tRNA
R04239	protein-L-lysine:oxygen 6-oxidoreductase (deaminating)	C02188 + C00001 + C00007	C03531 + C00014 + C00027	C02188 + C00001 + C00007 <=> C03531 + C00014 + C00027	protein-L-lysine:oxygen 6-oxidoreductase (deaminating); Protein lysine + H2O + Oxygen <=> [Protein]-(S)-2-amino-6-oxohexanoate + Ammonia + Hydrogen peroxide	Protein lysine + H2O + Oxygen <=> [Protein]-(S)-2-amino-6-oxohexanoate + Ammonia + Hydrogen peroxide
R04241	tetrahydropteroyl-gamma-polyglutamate:L-glutamate gamma-ligase (ADP-forming)	C00002 + C03541(n) + C00025	C00008 + C00009 + C03541(n+1)	C00002 + C03541(n) + C00025 <=> C00008 + C00009 + C03541(n+1)	tetrahydropteroyl-gamma-polyglutamate:L-glutamate gamma-ligase (ADP-forming); ATP + THF-polyglutamate(n) + L-Glutamate <=> ADP + Orthophosphate + THF-polyglutamate(n+1)	ATP + THF-polyglutamate(n) + L-Glutamate <=> ADP + Orthophosphate + THF-polyglutamate(n+1)
R04242	tetrahydropteroyl-poly-gamma-glutamate gamma-glutamylhydrolase	C03541 + C00001	C00101 + C00025	C03541 + (n-1) C00001 <=> C00101 + (n-1) C00025	tetrahydropteroyl-poly-gamma-glutamate gamma-glutamylhydrolase; THF-polyglutamate + (n-1) H2O <=> Tetrahydrofolate + (n-1) L-Glutamate	THF-polyglutamate + (n-1) H2O <=> Tetrahydrofolate + (n-1) L-Glutamate
R04247	CTP:ethanolamine-phosphate cytidylyltransferase	C00063 + C03557	C00013 + C05673	C00063 + C03557 <=> C00013 + C05673	CTP:ethanolamine-phosphate cytidylyltransferase; CTP + 2-Aminoethylphosphonate <=> Diphosphate + CMP-2-aminoethylphosphonate	CTP + 2-Aminoethylphosphonate <=> Diphosphate + CMP-2-aminoethylphosphonate
R04251	phosphonoacetaldehyde:NAD+ oxidoreductase	C03167 + C00003 + C00001	C05682 + C00004 + C00080	C03167 + C00003 + C00001 <=> C05682 + C00004 + C00080	phosphonoacetaldehyde:NAD+ oxidoreductase; Phosphonoacetaldehyde + NAD+ + H2O <=> Phosphonoacetate + NADH + H+	Phosphonoacetaldehyde + NAD+ + H2O <=> Phosphonoacetate + NADH + H+
R04256	(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating)	C05952 + C00007 + C00005 + C00080	C03577 + C00006 + C00001	C05952 + C00007 + C00005 + C00080 <=> C03577 + C00006 + C00001	(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating); Leukotriene E4 + Oxygen + NADPH + H+ <=> 20-Hydroxyleukotriene E4 + NADP+ + H2O	Leukotriene E4 + Oxygen + NADPH + H+ <=> 20-Hydroxyleukotriene E4 + NADP+ + H2O
R04259	(2R)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (ring-opening)	C04522	C03585	C04522 <=> C03585	(2R)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (ring-opening); 2-Chloro-2,5-dihydro-5-oxofuran-2-acetate <=> 3-Chloro-cis,cis-muconate	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate <=> 3-Chloro-cis,cis-muconate
R04260	5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase	C04105	C03586	C04105 <=> C03586	5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase; 2,5-Dihydro-5-oxofuran-2-acetate <=> 2-Oxo-2,3-dihydrofuran-5-acetate	2,5-Dihydro-5-oxofuran-2-acetate <=> 2-Oxo-2,3-dihydrofuran-5-acetate
R04263	7alpha-hydroxycholesterol:NAD+ 3-oxidoreductase	C03594 + C00003	C05455 + C00004 + C00080	C03594 + C00003 <=> C05455 + C00004 + C00080	7alpha-hydroxycholesterol:NAD+ 3-oxidoreductase; 7alpha-Hydroxycholesterol + NAD+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADH + H+	7alpha-Hydroxycholesterol + NAD+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADH + H+
R04264	cholest-5-ene-3beta,7alpha-diol:NAD+ 3-oxidoreductase	C03594 + C00006	C05455 + C00005 + C00080	C03594 + C00006 <=> C05455 + C00005 + C00080	cholest-5-ene-3beta,7alpha-diol:NAD+ 3-oxidoreductase; 7alpha-Hydroxycholesterol + NADP+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADPH + H+	7alpha-Hydroxycholesterol + NADP+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADPH + H+
R04265	CDP-alpha-D-paratose:NADP+ 4-oxidoreductase	C03598 + C00006	C04297 + C00005 + C00080	C03598 + C00006 <=> C04297 + C00005 + C00080	CDP-alpha-D-paratose:NADP+ 4-oxidoreductase; CDP-3,6-dideoxy-D-glucose + NADP+ <=> CDP-4-dehydro-3,6-dideoxy-D-glucose + NADPH + H+	CDP-3,6-dideoxy-D-glucose + NADP+ <=> CDP-4-dehydro-3,6-dideoxy-D-glucose + NADPH + H+
R04266	CDP-3,6-dideoxy-D-glucose 2-epimerase	C03598	C03599	C03598 <=> C03599	CDP-3,6-dideoxy-D-glucose 2-epimerase; CDP-3,6-dideoxy-D-glucose <=> CDP-3,6-dideoxy-D-mannose	CDP-3,6-dideoxy-D-glucose <=> CDP-3,6-dideoxy-D-mannose
R04267	ATP:deoxynucleoside-phosphate phosphotransferase	C00002 + C00676	C00008 + C04232	C00002 + C00676 <=> C00008 + C04232	ATP:deoxynucleoside-phosphate phosphotransferase; ATP + Deoxynucleoside 5'-phosphate <=> ADP + 2'-Deoxyribonucleoside diphosphate	ATP + Deoxynucleoside 5'-phosphate <=> ADP + 2'-Deoxyribonucleoside diphosphate
R04268	N-formyl-L-methionylaminoacyl-tRNA amidohydrolase	C04258 + C00001	C00058 + C03617	C04258 + C00001 <=> C00058 + C03617	N-formyl-L-methionylaminoacyl-tRNA amidohydrolase; N-Formyl-L-methionylaminoacyl-tRNA + H2O <=> Formate + L-Methionylaminoacyl-tRNA	N-Formyl-L-methionylaminoacyl-tRNA + H2O <=> Formate + L-Methionylaminoacyl-tRNA
R04270	2-alpha-L-fucopyranosyl-beta-D-galactoside fucohydrolase	C04698 + C00001	C01019 + C03619	C04698 + C00001 <=> C01019 + C03619	2-alpha-L-fucopyranosyl-beta-D-galactoside fucohydrolase; Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside + H2O <=> L-Fucose + Methyl beta-D-galactoside	Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside + H2O <=> L-Fucose + Methyl beta-D-galactoside
R04271	N-hydroxy-4-acetylaminobiphenyl:N-hydroxy-4-aminobiphenyl O-acetyltransferase	C04081 + C03622	C03622 + C03621	C04081 + C03622 <=> C03622 + C03621	N-hydroxy-4-acetylaminobiphenyl:N-hydroxy-4-aminobiphenyl O-acetyltransferase; N-Hydroxy-4-acetylaminobiphenyl + N-Hydroxy-4-aminobiphenyl <=> N-Hydroxy-4-aminobiphenyl + N-Acetoxy-4-aminobiphenyl	N-Hydroxy-4-acetylaminobiphenyl + N-Hydroxy-4-aminobiphenyl <=> N-Hydroxy-4-aminobiphenyl + N-Acetoxy-4-aminobiphenyl
R04272	oligosaccharide-diphosphodolichol phosphodolichohydrolase	C04213 + C00001	C03632 + C00110	C04213 + C00001 <=> C03632 + C00110	oligosaccharide-diphosphodolichol phosphodolichohydrolase; Dolichyl diphosphooligosaccharide + H2O <=> Oligosaccharide phosphate + Dolichyl phosphate	Dolichyl diphosphooligosaccharide + H2O <=> Oligosaccharide phosphate + Dolichyl phosphate
R04273	peptidylproline cis-trans-isomerase	C03798	C03633	C03798 <=> C03633	peptidylproline cis-trans-isomerase; Peptidylproline (omega=180) <=> Peptidylproline (omega=0)	Peptidylproline (omega=180) <=> Peptidylproline (omega=0)
R04274	RNA-3'-phosphate:RNA ligase (cyclizing, AMP-forming)	C00002 + C03638	C00020 + C00013 + C04312	C00002 + C03638 <=> C00020 + C00013 + C04312	RNA-3'-phosphate:RNA ligase (cyclizing, AMP-forming); ATP + RNA 3'-terminal-phosphate <=> AMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate	ATP + RNA 3'-terminal-phosphate <=> AMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate
R04275	ATP:[L-tyrosine,tetrahydropteridine:oxygen oxidoreductase (3-hydroxylating)] O-phosphotransferase	C00002 + C03643	C00008 + C04214	C00002 + C03643 <=> C00008 + C04214	ATP:[L-tyrosine,tetrahydropteridine:oxygen oxidoreductase (3-hydroxylating)] O-phosphotransferase; ATP + [Tyrosine-3-monoxygenase] <=> ADP + Phospho-[tyrosine-3-monoxygenase]	ATP + [Tyrosine-3-monoxygenase] <=> ADP + Phospho-[tyrosine-3-monoxygenase]
R04276	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	C03648 + C00026 + C00007	C05904 + C00042 + C00011 + C00001	C03648 + C00026 + C00007 <=> C05904 + C00042 + C00011 + 2 C00001	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; cis-3,4-Leucopelargonidin + 2-Oxoglutarate + Oxygen <=> Pelargonidin + Succinate + CO2 + 2 H2O	cis-3,4-Leucopelargonidin + 2-Oxoglutarate + Oxygen <=> Pelargonidin + Succinate + CO2 + 2 H2O
R04277	2-pyrone-4,6-dicarboxylate lactonohydrolase	C03671 + C00001	C04434	C03671 + C00001 <=> C04434	2-pyrone-4,6-dicarboxylate lactonohydrolase; 2-Pyrone-4,6-dicarboxylate + H2O <=> (1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate	2-Pyrone-4,6-dicarboxylate + H2O <=> (1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate
R04278	2-hydroxy-2-hydropyrone-4,6-dicarboxylate:NAD+ 6-oxidoreductase	C05375 + C00003	C03671 + C00004 + C00080	C05375 + C00003 <=> C03671 + C00004 + C00080	2-hydroxy-2-hydropyrone-4,6-dicarboxylate:NAD+ 6-oxidoreductase; 2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NAD+ <=> 2-Pyrone-4,6-dicarboxylate + NADH + H+	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NAD+ <=> 2-Pyrone-4,6-dicarboxylate + NADH + H+
R04279	4-carboxy-2-hydroxymuconate semialdehyde hemiacetal:NADP+ 2-oxidoreductase	C05375 + C00006	C03671 + C00005 + C00080	C05375 + C00006 <=> C03671 + C00005 + C00080	4-carboxy-2-hydroxymuconate semialdehyde hemiacetal:NADP+ 2-oxidoreductase; 2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NADP+ <=> 2-Pyrone-4,6-dicarboxylate + NADPH + H+	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NADP+ <=> 2-Pyrone-4,6-dicarboxylate + NADPH + H+
R04280	3-O-methylgallate:oxygen 4,5-oxidoreductase (decyclizing)	C05616 + C00007	C03671 + C00132	C05616 + C00007 <=> C03671 + C00132	3-O-methylgallate:oxygen 4,5-oxidoreductase (decyclizing); 3-O-Methylgallate + Oxygen <=> 2-Pyrone-4,6-dicarboxylate + Methanol	3-O-Methylgallate + Oxygen <=> 2-Pyrone-4,6-dicarboxylate + Methanol
R04281	carbamoyl-phosphate:3-hydroxymethylceph-3-em-4-carboxylate carbamoyltransferase	C00169 + C04448	C00009 + C03674	C00169 + C04448 <=> C00009 + C03674	carbamoyl-phosphate:3-hydroxymethylceph-3-em-4-carboxylate carbamoyltransferase; Carbamoyl phosphate + 3-Hydroxymethyl ceph-3-em-4-carboxylate <=> Orthophosphate + 3-Carbamoyloxymethylcephem	Carbamoyl phosphate + 3-Hydroxymethyl ceph-3-em-4-carboxylate <=> Orthophosphate + 3-Carbamoyloxymethylcephem
R04285	6-lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase	C04244 + C00006	C03684 + C00005 + C00080	C04244 + C00006 <=> C03684 + C00005 + C00080	6-lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase; 6-Lactoyl-5,6,7,8-tetrahydropterin + NADP+ <=> 6-Pyruvoyltetrahydropterin + NADPH + H+	6-Lactoyl-5,6,7,8-tetrahydropterin + NADP+ <=> 6-Pyruvoyltetrahydropterin + NADPH + H+
R04286	2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate lyase	C04895	C03684 + C00536	C04895 <=> C03684 + C00536	2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate lyase; 7,8-Dihydroneopterin 3'-triphosphate <=> 6-Pyruvoyltetrahydropterin + Triphosphate	7,8-Dihydroneopterin 3'-triphosphate <=> 6-Pyruvoyltetrahydropterin + Triphosphate
R04291	UDP-N-acetyl-D-glucosamine:lysosomal-enzyme N-acetylglucosaminephosphotransferase	C00043 + C03706	C00105 + C04789	C00043 + C03706 <=> C00105 + C04789	UDP-N-acetyl-D-glucosamine:lysosomal-enzyme N-acetylglucosaminephosphotransferase; UDP-N-acetyl-alpha-D-glucosamine + Lysosomal-enzyme D-mannose <=> UMP + Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose	UDP-N-acetyl-alpha-D-glucosamine + Lysosomal-enzyme D-mannose <=> UMP + Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose
R04292	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)	C03722 + C00001 + C00009	C05840 + C00111	C03722 + 2 C00001 + C00009 <=> C05840 + C00111	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing); Quinolinate + 2 H2O + Orthophosphate <=> Iminoaspartate + Glycerone phosphate	Quinolinate + 2 H2O + Orthophosphate <=> Iminoaspartate + Glycerone phosphate
R04294	2'-deoxyribonucleoside diphosphate:oxidized-thioredoxin 2'-oxidoreductase	C04232 + C00343 + C00001	C03723 + C00342	C04232 + C00343 + C00001 <=> C03723 + C00342	2'-deoxyribonucleoside diphosphate:oxidized-thioredoxin 2'-oxidoreductase; 2'-Deoxyribonucleoside diphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside diphosphate + Thioredoxin	2'-Deoxyribonucleoside diphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside diphosphate + Thioredoxin
R04296	UDPglucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase	C00029 + C03742	C00015 + C05143	C00029 + C03742 <=> C00015 + C05143	UDPglucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase; UDP-glucose + (S)-4-Hydroxymandelonitrile <=> UDP + Dhurrin	UDP-glucose + (S)-4-Hydroxymandelonitrile <=> UDP + Dhurrin
R04297	1,2,3,5-tetrahydroxybenzene:1,2,3-trihydroxybenzene hydroxytransferase	C03743 + C01108	C03743 + C02183	C03743 + C01108 <=> C03743 + C02183	1,2,3,5-tetrahydroxybenzene:1,2,3-trihydroxybenzene hydroxytransferase; 1,2,3,5-Tetrahydroxybenzene + 1,2,3-Trihydroxybenzene <=> 1,2,3,5-Tetrahydroxybenzene + Phloroglucinol	1,2,3,5-Tetrahydroxybenzene + 1,2,3-Trihydroxybenzene <=> 1,2,3,5-Tetrahydroxybenzene + Phloroglucinol
R04300	4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	C03758 + C00001 + C00007	C04043 + C00014 + C00027	C03758 + C00001 + C00007 <=> C04043 + C00014 + C00027	4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing); Dopamine + H2O + Oxygen <=> 3,4-Dihydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide	Dopamine + H2O + Oxygen <=> 3,4-Dihydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide
R04301	S-adenosyl-L-methionine:catechol O-methyltransferase	C00019 + C03758	C00021 + C05587	C00019 + C03758 <=> C00021 + C05587	S-adenosyl-L-methionine:catechol O-methyltransferase; S-Adenosyl-L-methionine + Dopamine <=> S-Adenosyl-L-homocysteine + 3-Methoxytyramine	S-Adenosyl-L-methionine + Dopamine <=> S-Adenosyl-L-homocysteine + 3-Methoxytyramine
R04303	NADPH:4-(dimethylamino)phenylazoxybenzene oxidoreductase	C03764 + C00006 + C00001	C04291 + C00005 + C00080	C03764 + C00006 + C00001 <=> C04291 + C00005 + C00080	NADPH:4-(dimethylamino)phenylazoxybenzene oxidoreductase; para-(Dimethylamino)azobenzene + NADP+ + H2O <=> 4-(Dimethylamino)phenylazoxybenzene + NADPH + H+	para-(Dimethylamino)azobenzene + NADP+ + H2O <=> 4-(Dimethylamino)phenylazoxybenzene + NADPH + H+
R04304	4-hydroxyphenylethanol:NAD+ oxidoreductase	C06044 + C00003	C03765 + C00004 + C00080	C06044 + C00003 <=> C03765 + C00004 + C00080	4-hydroxyphenylethanol:NAD+ oxidoreductase; 4-Hydroxyphenylethanol + NAD+ <=> 4-Hydroxyphenylacetaldehyde + NADH + H+	4-Hydroxyphenylethanol + NAD+ <=> 4-Hydroxyphenylacetaldehyde + NADH + H+
R04305	4-hydroxyphenylacetaldehyde hydro-lyase (adding dopamine)	C03765 + C03758	C06160 + C00001	C03765 + C03758 <=> C06160 + C00001	4-hydroxyphenylacetaldehyde hydro-lyase (adding dopamine); 4-Hydroxyphenylacetaldehyde + Dopamine <=> (S)-Norcoclaurine + H2O	4-Hydroxyphenylacetaldehyde + Dopamine <=> (S)-Norcoclaurine + H2O
R04307	trans-4-hydroxycyclohexanecarboxylate:NAD+ 4-oxidoreductase	C04404 + C00003	C03767 + C00004 + C00080	C04404 + C00003 <=> C03767 + C00004 + C00080	trans-4-hydroxycyclohexanecarboxylate:NAD+ 4-oxidoreductase; trans-4-Hydroxycyclohexanecarboxylate + NAD+ <=> 4-Oxocyclohexanecarboxylate + NADH + H+	trans-4-Hydroxycyclohexanecarboxylate + NAD+ <=> 4-Oxocyclohexanecarboxylate + NADH + H+
R04309	3alpha-hydroxy-5beta-androstan-17-one:NAD+ oxidoreductase (B-specific)	C04373 + C00003	C03772 + C00004 + C00080	C04373 + C00003 <=> C03772 + C00004 + C00080	3alpha-hydroxy-5beta-androstan-17-one:NAD+ oxidoreductase (B-specific); Etiocholanolone + NAD+ <=> 5beta-Androstane-3,17-dione + NADH + H+	Etiocholanolone + NAD+ <=> 5beta-Androstane-3,17-dione + NADH + H+
R04310	3alpha-hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific)	C04373 + C00006	C03772 + C00005 + C00080	C04373 + C00006 <=> C03772 + C00005 + C00080	3alpha-hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific); Etiocholanolone + NADP+ <=> 5beta-Androstane-3,17-dione + NADPH + H+	Etiocholanolone + NADP+ <=> 5beta-Androstane-3,17-dione + NADPH + H+
R04311	1-acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase	C03372 + C00339	C03715 + C03129	C03372 + C00339 <=> C03715 + C03129	1-acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase; Acylglycerone phosphate + Long-chain alcohol <=> O-Alkylglycerone phosphate + Long-chain acid anion	Acylglycerone phosphate + Long-chain alcohol <=> O-Alkylglycerone phosphate + Long-chain acid anion
R04312	pyrophosphate:microsomal-membrane-protein O-phosphotransferase	C00013 + C03788	C00009 + C04391	C00013 + C03788 <=> C00009 + C04391	pyrophosphate:microsomal-membrane-protein O-phosphotransferase; Diphosphate + Microsomal-membrane protein <=> Orthophosphate + O-Phospho-microsomal-membrane protein	Diphosphate + Microsomal-membrane protein <=> Orthophosphate + O-Phospho-microsomal-membrane protein
R04314	DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase	C04250 + C02743	C03800 + C11475	C04250 + C02743 <=> C03800 + C11475	DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase; DNA containing 6-O-methylguanine + [Protein]-L-cysteine <=> Protein S-methyl-L-cysteine + DNA containing guanine	DNA containing 6-O-methylguanine + [Protein]-L-cysteine <=> Protein S-methyl-L-cysteine + DNA containing guanine
R04315	2'-deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase	C00677 + C00343 + C00001	C03802 + C00342	C00677 + C00343 + C00001 <=> C03802 + C00342	2'-deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase; Deoxynucleoside triphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside triphosphate + Thioredoxin	Deoxynucleoside triphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside triphosphate + Thioredoxin
R04316	acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase	C00024 + C03803	C00010 + C04341	C00024 + C03803 <=> C00010 + C04341	acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase; Acetyl-CoA + Ribosomal-protein L-alanine <=> CoA + Ribosomal-protein N-acetyl-L-alanine	Acetyl-CoA + Ribosomal-protein L-alanine <=> CoA + Ribosomal-protein N-acetyl-L-alanine
R04317	S-methyl-3-phospho-1-thio-D-glycerate phosphohydrolase	C04399 + C00001	C03804 + C00009	C04399 + C00001 <=> C03804 + C00009	S-methyl-3-phospho-1-thio-D-glycerate phosphohydrolase; S-Methyl-3-phospho-1-thio-D-glycerate + H2O <=> S-Methyl-1-thio-D-glycerate + Orthophosphate	S-Methyl-3-phospho-1-thio-D-glycerate + H2O <=> S-Methyl-1-thio-D-glycerate + Orthophosphate
R04318	penicillin-G hydrolase	C05551 + C00001	C16672	C05551 + C00001 <=> C16672	penicillin-G hydrolase; Penicillin G + H2O <=> Benzylpenicilloic acid	Penicillin G + H2O <=> Benzylpenicilloic acid
R04319	trans-2,3-didehydroacyl-CoA:NADP+ 4-oxidoreductase	C00658 + C00006	C04512 + C00005 + C00080	C00658 + C00006 <=> C04512 + C00005 + C00080	trans-2,3-didehydroacyl-CoA:NADP+ 4-oxidoreductase; trans-2,3-Dehydroacyl-CoA + NADP+ <=> (2E,4E)-2,4-Dienoyl-CoA + NADPH + H+	trans-2,3-Dehydroacyl-CoA + NADP+ <=> (2E,4E)-2,4-Dienoyl-CoA + NADPH + H+
R04320	poly(1,4-alpha-D-galacturonide) galacturonohydrolase	C00470 + C00001	C00470 + C00333	C00470 + C00001 <=> C00470 + C00333	poly(1,4-alpha-D-galacturonide) galacturonohydrolase; Pectate + H2O <=> Pectate + D-Galacturonate	Pectate + H2O <=> Pectate + D-Galacturonate
R04321	CDP-choline:1-alkyl-2-acetylglycerol cholinephosphotransferase	C00307 + C03820	C00055 + C04598	C00307 + C03820 <=> C00055 + C04598	CDP-choline:1-alkyl-2-acetylglycerol cholinephosphotransferase; CDP-choline + 1-Alkyl-2-acetyl-sn-glycerol <=> CMP + 2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine	CDP-choline + 1-Alkyl-2-acetyl-sn-glycerol <=> CMP + 2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine
R04322	UDP-alpha-D-galactose:2-(2-hydroxyacyl)sphingosine 1-beta-D-galactosyltransferase	C00052 + C03823	C00015 + C04708	C00052 + C03823 <=> C00015 + C04708	UDP-alpha-D-galactose:2-(2-hydroxyacyl)sphingosine 1-beta-D-galactosyltransferase; UDP-alpha-D-galactose + 2-(2-Hydroxyacyl)sphingosine <=> UDP + 1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine	UDP-alpha-D-galactose + 2-(2-Hydroxyacyl)sphingosine <=> UDP + 1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine
R04323	2-amino-3-carboxymuconate semialdehyde carboxy-lyase	C04409	C03824 + C00011	C04409 <=> C03824 + C00011	2-amino-3-carboxymuconate semialdehyde carboxy-lyase; 2-Amino-3-carboxymuconate semialdehyde <=> 2-Aminomuconate semialdehyde + CO2	2-Amino-3-carboxymuconate semialdehyde <=> 2-Aminomuconate semialdehyde + CO2
R04325	10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	C00234 + C03838	C00101 + C04376	C00234 + C03838 <=> C00101 + C04376	10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase; 10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide	10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide
R04327	5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating)	C03840 + C00007	C04110	2 C03840 + C00007 <=> 2 C04110	5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating); 2 Juglone + Oxygen <=> 2 3,5-Dihydroxy-1,4-naphthoquinone	2 Juglone + Oxygen <=> 2 3,5-Dihydroxy-1,4-naphthoquinone
R04330	androstan-3alpha,17beta-diol:NAD+ oxidoreductase	C03852 + C00003	C03917 + C00004 + C00080	C03852 + C00003 <=> C03917 + C00004 + C00080	androstan-3alpha,17beta-diol:NAD+ oxidoreductase; Androstan-3alpha,17beta-diol + NAD+ <=> Dihydrotestosterone + NADH + H+	Androstan-3alpha,17beta-diol + NAD+ <=> Dihydrotestosterone + NADH + H+
R04331	GDPmannose:chitobiosyldiphosphodolichol alpha-D-mannosyltransferase	C00096 + C04537	C00035 + C04615	C00096 + C04537 <=> C00035 + C04615	GDPmannose:chitobiosyldiphosphodolichol alpha-D-mannosyltransferase; GDP-mannose + N,N'-Diacetylchitobiosyldiphosphodolichol <=> GDP + alpha-D-Mannosylchitobiosyldiphosphodolichol	GDP-mannose + N,N'-Diacetylchitobiosyldiphosphodolichol <=> GDP + alpha-D-Mannosylchitobiosyldiphosphodolichol
R04332	S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase	C00019 + C03866	C00021 + C04459	C00019 + C03866 <=> C00021 + C04459	S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase; S-Adenosyl-L-methionine + Glucuronoxylan D-glucuronate <=> S-Adenosyl-L-homocysteine + Glucuronoxylan 4-O-methyl-D-glucuronate	S-Adenosyl-L-methionine + Glucuronoxylan D-glucuronate <=> S-Adenosyl-L-homocysteine + Glucuronoxylan 4-O-methyl-D-glucuronate
R04333	indole-3-acetyl-beta-1-D-glucoside:myo-inositol indoleacetyltransferase	C04197 + C00137	C00031 + C03868	C04197 + C00137 <=> C00031 + C03868	indole-3-acetyl-beta-1-D-glucoside:myo-inositol indoleacetyltransferase; Indole-3-acetyl-beta-1-D-glucoside + myo-Inositol <=> D-Glucose + Indole-3-acetyl-myo-inositol	Indole-3-acetyl-beta-1-D-glucoside + myo-Inositol <=> D-Glucose + Indole-3-acetyl-myo-inositol
